pdb,hairpin
1hnx, 1hnx_0_9 1hnx_1_5 1hnx_2_4 1hnx_3_4 1hnx_4_3 1hnx_5_7 1hnx_6_4 1hnx_7_12 1hnx_8_4 1hnx_9_4 1hnx_10_4 1hnx_11_5 1hnx_12_16 1hnx_13_4 1hnx_14_5 1hnx_15_8 1hnx_16_4 1hnx_17_9 1hnx_18_3 1hnx_19_4 1hnx_20_4 1hnx_21_8 1hnx_22_4 1hnx_23_4 1hnx_24_4 1hnx_25_6 1hnx_26_5 1hnx_27_4 1hnx_28_4 1hnx_29_8 1hnx_30_10 1hnx_31_4 1hnx_32_4
1hnz, 1hnz_0_9 1hnz_1_5 1hnz_2_4 1hnz_3_4 1hnz_4_3 1hnz_5_7 1hnz_6_4 1hnz_7_12 1hnz_8_4 1hnz_9_4 1hnz_10_4 1hnz_11_5 1hnz_12_16 1hnz_13_4 1hnz_14_5 1hnz_15_8 1hnz_16_4 1hnz_17_9 1hnz_18_5 1hnz_19_4 1hnz_20_4 1hnz_21_8 1hnz_22_4 1hnz_23_4 1hnz_24_4 1hnz_25_6 1hnz_26_5 1hnz_27_4 1hnz_28_4 1hnz_29_8 1hnz_30_10 1hnz_31_4 1hnz_32_4
1hq1, 1hq1_0_4
1hq7,
1hr0, 1hr0_0_9 1hr0_1_5 1hr0_2_4 1hr0_3_4 1hr0_4_3 1hr0_5_7 1hr0_6_4 1hr0_7_12 1hr0_8_4 1hr0_9_4 1hr0_10_4 1hr0_11_5 1hr0_12_16 1hr0_13_4 1hr0_14_5 1hr0_15_8 1hr0_16_4 1hr0_17_9 1hr0_18_3 1hr0_19_4 1hr0_20_4 1hr0_21_8 1hr0_22_4 1hr0_23_4 1hr0_24_4 1hr0_25_6 1hr0_26_5 1hr0_27_4 1hr0_28_4 1hr0_29_8 1hr0_30_10 1hr0_31_4 1hr0_32_4
1hr2, 1hr2_0_4 1hr2_1_7 1hr2_2_3
1hu0,
1huo,
1hut,
1huz,
1hvu, 1hvu_0_8 1hvu_1_8
1hw2,
1hwt,
1hys,
1hzs,
1i0f,
1i0g,
1i0j,
1i0k,
1i0m,
1i0n,
1i0o,
1i0p,
1i0q,
1i0t,
1i1p,
1i2x,
1i2y,
1i3j,
1i3t,
1i3w,
1i47,
1i5l,
1i5w,
1i6h,
1i6j,
1i6u, 1i6u_0_4
1i7d,
1i7j,
1i8m,
1i94, 1i94_0_9 1i94_1_5 1i94_2_4 1i94_3_4 1i94_4_3 1i94_5_7 1i94_6_4 1i94_7_12 1i94_8_4 1i94_9_4 1i94_10_4 1i94_11_5 1i94_12_16 1i94_13_4 1i94_14_5 1i94_15_8 1i94_16_4 1i94_17_9 1i94_18_3 1i94_19_4 1i94_20_4 1i94_21_8 1i94_22_6 1i94_23_5 1i94_24_4 1i94_25_6 1i94_26_5 1i94_27_4 1i94_28_4 1i94_29_8 1i94_30_10 1i94_31_4 1i94_32_4
1i95, 1i95_0_9 1i95_1_5 1i95_2_4 1i95_3_4 1i95_4_3 1i95_5_7 1i95_6_4 1i95_7_12 1i95_8_4 1i95_9_4 1i95_10_4 1i95_11_5 1i95_12_16 1i95_13_4 1i95_14_5 1i95_15_8 1i95_16_4 1i95_17_9 1i95_18_3 1i95_19_4 1i95_20_4 1i95_21_8 1i95_22_6 1i95_23_5 1i95_24_4 1i95_25_6 1i95_26_9 1i95_27_4 1i95_28_4 1i95_29_8 1i95_30_10 1i95_31_4 1i95_32_4
1i96, 1i96_0_9 1i96_1_5 1i96_2_4 1i96_3_4 1i96_4_3 1i96_5_7 1i96_6_4 1i96_7_12 1i96_8_4 1i96_9_4 1i96_10_4 1i96_11_5 1i96_12_16 1i96_13_4 1i96_14_5 1i96_15_8 1i96_16_4 1i96_17_9 1i96_18_3 1i96_19_4 1i96_20_4 1i96_21_8 1i96_22_6 1i96_23_8 1i96_24_4 1i96_25_6 1i96_26_9 1i96_27_4 1i96_28_4 1i96_29_8 1i96_30_10 1i96_31_4 1i96_32_4
1i97, 1i97_0_11 1i97_1_5 1i97_2_4 1i97_3_4 1i97_4_3 1i97_5_7 1i97_6_4 1i97_7_12 1i97_8_4 1i97_9_4 1i97_10_4 1i97_11_5 1i97_12_16 1i97_13_4 1i97_14_5 1i97_15_8 1i97_16_4 1i97_17_9 1i97_18_3 1i97_19_4 1i97_20_4 1i97_21_8 1i97_22_4 1i97_23_4 1i97_24_4 1i97_25_6 1i97_26_6 1i97_27_4 1i97_28_4 1i97_29_8 1i97_30_10 1i97_31_4 1i97_32_4
1i9v, 1i9v_0_8 1i9v_1_7
1i9x,
1iaw,
1ibk, 1ibk_0_9 1ibk_1_5 1ibk_2_4 1ibk_3_4 1ibk_4_3 1ibk_5_7 1ibk_6_4 1ibk_7_12 1ibk_8_4 1ibk_9_4 1ibk_10_4 1ibk_11_5 1ibk_12_16 1ibk_13_4 1ibk_14_5 1ibk_15_8 1ibk_16_4 1ibk_17_9 1ibk_18_3 1ibk_19_4 1ibk_20_4 1ibk_21_8 1ibk_22_4 1ibk_23_7 1ibk_24_4 1ibk_25_6 1ibk_26_5 1ibk_27_4 1ibk_28_4 1ibk_29_8 1ibk_30_10 1ibk_31_4 1ibk_32_4
1ibl, 1ibl_0_9 1ibl_1_5 1ibl_2_4 1ibl_3_4 1ibl_4_3 1ibl_5_7 1ibl_6_4 1ibl_7_12 1ibl_8_4 1ibl_9_4 1ibl_10_4 1ibl_11_5 1ibl_12_16 1ibl_13_4 1ibl_14_5 1ibl_15_8 1ibl_16_4 1ibl_17_9 1ibl_18_3 1ibl_19_4 1ibl_20_4 1ibl_21_8 1ibl_22_4 1ibl_23_4 1ibl_24_4 1ibl_25_6 1ibl_26_5 1ibl_27_4 1ibl_28_4 1ibl_29_8 1ibl_30_10 1ibl_31_4 1ibl_32_4 1ibl_33_7
1ibm, 1ibm_0_9 1ibm_1_5 1ibm_2_4 1ibm_3_4 1ibm_4_3 1ibm_5_7 1ibm_6_4 1ibm_7_12 1ibm_8_4 1ibm_9_4 1ibm_10_4 1ibm_11_5 1ibm_12_16 1ibm_13_4 1ibm_14_5 1ibm_15_8 1ibm_16_4 1ibm_17_9 1ibm_18_3 1ibm_19_4 1ibm_20_4 1ibm_21_8 1ibm_22_4 1ibm_23_4 1ibm_24_6 1ibm_25_5 1ibm_26_4 1ibm_27_4 1ibm_28_8 1ibm_29_10 1ibm_30_4 1ibm_31_4 1ibm_32_7
1ic8,
1icg,
1ick,
1id3,
1id9,
1idw,
1if1,
1ig7,
1ig9,
1ign,
1ih1,
1ih2,
1ih3,
1ih4,
1ih6,
1iha,
1ihf,
1ihh,
1ijs,
1ijw,
1ik5,
1ikk,
1il2, 1il2_0_10 1il2_1_7 1il2_2_7
1ilc,
1imh,
1imr,
1ims,
1io4,
1ipp,
1iu3,
1ivs, 1ivs_0_7 1ivs_1_7 1ivs_2_7
1ixj,
1ixy,
1j1u, 1j1u_0_9 1j1u_1_7 1j1u_2_7 1j1u_3_9 1j1u_4_7 1j1u_5_7
1j1v,
1j2b, 1j2b_0_7 1j2b_1_7 1j2b_2_7 1j2b_3_8
1j3e,
1j59,
1j5a, 1j5a_0_8 1j5a_1_5 1j5a_2_9 1j5a_3_4 1j5a_4_4 1j5a_5_4 1j5a_6_4 1j5a_7_4 1j5a_8_5 1j5a_9_6 1j5a_10_3 1j5a_11_7 1j5a_12_7 1j5a_13_6 1j5a_14_4 1j5a_15_4 1j5a_16_7 1j5a_17_8 1j5a_18_4 1j5a_19_4 1j5a_20_6 1j5a_21_6 1j5a_22_8 1j5a_23_5 1j5a_24_4 1j5a_25_6 1j5a_26_6 1j5a_27_9 1j5a_28_6 1j5a_29_3 1j5a_30_4 1j5a_31_7 1j5a_32_5 1j5a_33_4 1j5a_34_8 1j5a_35_9 1j5a_36_13 1j5a_37_3 1j5a_38_2 1j5a_39_6 1j5a_40_4 1j5a_41_4 1j5a_42_3 1j5a_43_3 1j5a_44_11 1j5a_45_5 1j5a_46_7 1j5a_47_9 1j5a_48_7 1j5a_49_8 1j5a_50_12 1j5a_51_7 1j5a_52_19 1j5a_53_11 1j5a_54_9 1j5a_55_6 1j5a_56_5 1j5a_57_4 1j5a_58_8 1j5a_59_7 1j5a_60_6 1j5a_61_5 1j5a_62_4 1j5a_63_4 1j5a_64_4 1j5a_65_13 1j5a_66_7 1j5a_67_4
1j5e, 1j5e_0_9 1j5e_1_5 1j5e_2_4 1j5e_3_4 1j5e_4_3 1j5e_5_7 1j5e_6_4 1j5e_7_12 1j5e_8_4 1j5e_9_4 1j5e_10_4 1j5e_11_5 1j5e_12_16 1j5e_13_4 1j5e_14_5 1j5e_15_8 1j5e_16_4 1j5e_17_9 1j5e_18_3 1j5e_19_4 1j5e_20_4 1j5e_21_8 1j5e_22_4 1j5e_23_4 1j5e_24_4 1j5e_25_6 1j5e_26_5 1j5e_27_4 1j5e_28_4 1j5e_29_8 1j5e_30_10 1j5e_31_4 1j5e_32_4
1j5o,
1j6s,
1j75,
1j7t,
1j8g,
1j8l,
1j9h,
1jb7,
1jb8,
1jbr,
1jbs, 1jbs_0_4
1jbt, 1jbt_0_4
1je8,
1jes,
1jey, 1jey_0_5
1jfi,
1jfs,
1jft,
1jgg,
1jgo, 1jgo_0_8 1jgo_1_9 1jgo_2_7 1jgo_3_8 1jgo_4_9 1jgo_5_7 1jgo_6_9 1jgo_7_7 1jgo_8_7
1jgp, 1jgp_0_8 1jgp_1_9 1jgp_2_7 1jgp_3_8 1jgp_4_9 1jgp_5_7 1jgp_6_9 1jgp_7_7 1jgp_8_7
1jgq, 1jgq_0_8 1jgq_1_9 1jgq_2_7 1jgq_3_8 1jgq_4_9 1jgq_5_7 1jgq_6_9 1jgq_7_7 1jgq_8_7
1jgr,
1jh9,
1jid, 1jid_0_4
1jj2, 1jj2_0_8 1jj2_1_21 1jj2_2_7 1jj2_3_3 1jj2_4_5 1jj2_5_6 1jj2_6_5 1jj2_7_5 1jj2_8_4 1jj2_9_6 1jj2_10_3 1jj2_11_7 1jj2_12_8 1jj2_13_7 1jj2_14_4 1jj2_15_5 1jj2_16_4 1jj2_17_8 1jj2_18_5 1jj2_19_4 1jj2_20_4 1jj2_21_4 1jj2_22_8 1jj2_23_5 1jj2_24_4 1jj2_25_5 1jj2_26_6 1jj2_27_9 1jj2_28_6 1jj2_29_7 1jj2_30_4 1jj2_31_7 1jj2_32_5 1jj2_33_5 1jj2_34_8 1jj2_35_5 1jj2_36_4 1jj2_37_3 1jj2_38_6 1jj2_39_7 1jj2_40_4 1jj2_41_5 1jj2_42_3 1jj2_43_9 1jj2_44_4 1jj2_45_6 1jj2_46_7 1jj2_47_13 1jj2_48_8 1jj2_49_4 1jj2_50_7 1jj2_51_20 1jj2_52_11 1jj2_53_6 1jj2_54_9 1jj2_55_4 1jj2_56_7 1jj2_57_7 1jj2_58_6 1jj2_59_5 1jj2_60_4 1jj2_61_4 1jj2_62_4 1jj2_63_13 1jj2_64_7 1jj2_65_4 1jj2_66_5 1jj2_67_4
1jj4,
1jj6,
1jj8,
1jk1,
1jk2,
1jko,
1jkp,
1jkq,
1jkr,
1jmc,
1jnm,
1jo2,
1jpq,
1jrn,
1jt0,
1jtl,
1juc,
1jux,
1jwl,
1jx4,
1jxl,
1jzv,
1jzx, 1jzx_0_8 1jzx_1_5 1jzx_2_9 1jzx_3_4 1jzx_4_4 1jzx_5_4 1jzx_6_4 1jzx_7_4 1jzx_8_5 1jzx_9_6 1jzx_10_3 1jzx_11_7 1jzx_12_7 1jzx_13_6 1jzx_14_4 1jzx_15_4 1jzx_16_7 1jzx_17_8 1jzx_18_4 1jzx_19_4 1jzx_20_6 1jzx_21_6 1jzx_22_8 1jzx_23_5 1jzx_24_4 1jzx_25_6 1jzx_26_6 1jzx_27_9 1jzx_28_6 1jzx_29_3 1jzx_30_4 1jzx_31_7 1jzx_32_5 1jzx_33_4 1jzx_34_8 1jzx_35_9 1jzx_36_13 1jzx_37_3 1jzx_38_2 1jzx_39_6 1jzx_40_4 1jzx_41_4 1jzx_42_3 1jzx_43_3 1jzx_44_11 1jzx_45_5 1jzx_46_7 1jzx_47_9 1jzx_48_7 1jzx_49_8 1jzx_50_12 1jzx_51_7 1jzx_52_19 1jzx_53_11 1jzx_54_9 1jzx_55_6 1jzx_56_5 1jzx_57_4 1jzx_58_8 1jzx_59_7 1jzx_60_6 1jzx_61_5 1jzx_62_4 1jzx_63_4 1jzx_64_4 1jzx_65_13 1jzx_66_7 1jzx_67_4
